지역,측정월,totalCnt,totalPM10,avPM10
서울,7,29022,1076046,37.07691
서울,8,28942,1093720,37.790062
서울,9,28167,856345,30.402422
경기,7,56614,2379261,42.02602
경기,8,56882,2486722,43.717205
경기,9,55535,2019300,36.360855
강원,7,7953,278533,35.02238
강원,8,8061,307115,38.09887
강원,9,7779,231887,29.809359
부산,7,15450,713734,46.196377
부산,8,14903,710624,47.683285
부산,9,14459,491460,33.989902
경남,7,16833,626478,37.21725
경남,8,15930,709036,44.50948
경남,9,15632,550282,35.20228
울산,7,10757,478136,44.448826
울산,8,11049,550058,49.78351
울산,9,10623,339926,31.999058
광주,7,6696,228456,34.11828
광주,8,6677,219254,32.837204
광주,9,6419,228283,35.56364
전북,7,10126,332434,32.829746
전북,8,10170,323830,31.841692
전북,9,9892,358460,36.237362
전남,7,11596,385396,33.235252
전남,8,11593,391872,33.802467
전남,9,11912,348721,29.274765
대구,7,9581,316568,33.04123
대구,8,9540,381001,39.93721
대구,9,9191,296334,32.241756
제주,7,2928,97350,33.24795
제주,8,2924,100575,34.396374
제주,9,2820,94612,33.550354
경북,7,12228,482469,39.456085
경북,8,12120,503992,41.5835
경북,9,11976,401777,33.548515
충북,7,7004,229975,32.83481
충북,8,8071,285645,35.391525
충북,9,7862,267702,34.050114
전북,7,10126,332434,32.829746
전북,8,10170,323830,31.841692
전북,9,9892,358460,36.237362
인천,7,14717,570973,38.796833
인천,8,15049,604598,40.175293
인천,9,14676,510700,34.79831
